Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,DesvEst,Menor,Mayor,PROBABILIDAD DE GANAR
PVEM,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,44.42%,0.0854,30.38%,61.16%,53.22%
RSP,E15D1,MÉXICO,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,5.22%,0.0247,1.16%,10.07%,0.00%
ES,E15D10,MÉXICO,ECATEPEC DE MORELOS,4.14%,0.0392,0.00%,11.82%,0.00%
MC,E15D10,MÉXICO,ECATEPEC DE MORELOS,5.61%,0.0145,3.23%,8.46%,0.00%
MORENA,E15D10,MÉXICO,ECATEPEC DE MORELOS,46.88%,0.0126,44.81%,49.35%,100.00%
PAN,E15D10,MÉXICO,ECATEPEC DE MORELOS,7.99%,0.0300,3.05%,13.88%,0.00%
PRD,E15D10,MÉXICO,ECATEPEC DE MORELOS,7.29%,0.0245,3.25%,12.10%,0.00%
PRI,E15D10,MÉXICO,ECATEPEC DE MORELOS,12.34%,0.0561,3.12%,23.33%,0.00%
PT,E15D10,MÉXICO,ECATEPEC DE MORELOS,2.84%,0.0041,2.16%,3.65%,0.00%
PVEM,E15D10,MÉXICO,ECATEPEC DE MORELOS,7.75%,0.0610,0.00%,19.69%,0.00%
RSP,E15D10,MÉXICO,ECATEPEC DE MORELOS,4.40%,0.0223,0.73%,8.77%,0.00%
ES,E15D11,MÉXICO,ECATEPEC DE MORELOS,3.62%,0.0282,0.00%,9.15%,0.00%
MC,E15D11,MÉXICO,ECATEPEC DE MORELOS,5.78%,0.0166,3.05%,9.04%,0.00%
MORENA,E15D11,MÉXICO,ECATEPEC DE MORELOS,46.73%,0.0121,44.73%,49.10%,100.00%
PAN,E15D11,MÉXICO,ECATEPEC DE MORELOS,7.99%,0.0265,3.64%,13.18%,0.00%
PRD,E15D11,MÉXICO,ECATEPEC DE MORELOS,7.54%,0.0252,3.39%,12.49%,0.00%
PRI,E15D11,MÉXICO,ECATEPEC DE MORELOS,12.79%,0.0555,3.66%,23.67%,0.00%
PT,E15D11,MÉXICO,ECATEPEC DE MORELOS,2.85%,0.0037,2.24%,3.58%,0.00%
PVEM,E15D11,MÉXICO,ECATEPEC DE MORELOS,8.10%,0.0608,0.00%,20.02%,0.00%
RSP,E15D11,MÉXICO,ECATEPEC DE MORELOS,4.27%,0.0222,0.00%,8.62%,0.00%
ES,E15D12,MÉXICO,IXTAPALUCA,2.84%,0.0405,0.00%,10.78%,0.00%
MC,E15D12,MÉXICO,IXTAPALUCA,7.01%,0.0295,2.16%,12.78%,0.00%
MORENA,E15D12,MÉXICO,IXTAPALUCA,52.55%,0.0889,37.93%,69.97%,99.70%
PAN,E15D12,MÉXICO,IXTAPALUCA,6.13%,0.0411,0.00%,14.19%,0.00%
PRD,E15D12,MÉXICO,IXTAPALUCA,9.88%,0.0362,3.92%,16.98%,0.00%
PRI,E15D12,MÉXICO,IXTAPALUCA,18.23%,0.0777,5.44%,33.47%,0.30%
RSP,E15D12,MÉXICO,IXTAPALUCA,4.69%,0.0367,0.00%,11.89%,0.00%
ES,E15D13,MÉXICO,ECATEPEC DE MORELOS,4.20%,0.0349,0.00%,11.04%,0.00%
MC,E15D13,MÉXICO,ECATEPEC DE MORELOS,6.03%,0.0168,3.28%,9.32%,0.00%
MORENA,E15D13,MÉXICO,ECATEPEC DE MORELOS,47.90%,0.0115,46.00%,50.16%,100.00%
PAN,E15D13,MÉXICO,ECATEPEC DE MORELOS,8.25%,0.0323,2.94%,14.59%,0.00%
PRD,E15D13,MÉXICO,ECATEPEC DE MORELOS,6.58%,0.0234,2.73%,11.17%,0.00%
PRI,E15D13,MÉXICO,ECATEPEC DE MORELOS,12.98%,0.0651,2.28%,25.74%,0.00%
PT,E15D13,MÉXICO,ECATEPEC DE MORELOS,2.53%,0.0038,1.90%,3.27%,0.00%
PVEM,E15D13,MÉXICO,ECATEPEC DE MORELOS,7.83%,0.0674,0.00%,21.04%,0.00%
RSP,E15D13,MÉXICO,ECATEPEC DE MORELOS,3.99%,0.0221,0.00%,8.31%,0.00%
ES,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,3.90%,0.0282,0.00%,9.44%,0.00%
MC,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,3.79%,0.0126,1.72%,6.26%,0.00%
PAN,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,40.35%,0.1116,21.99%,62.23%,28.25%
PT,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,48.47%,0.0556,39.32%,59.37%,71.75%
RSP,E15D14,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,3.35%,0.0180,0.00%,6.87%,0.00%
ES,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,3.79%,0.0242,0.00%,8.53%,0.00%
MC,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,4.13%,0.0111,2.30%,6.31%,0.00%
PAN,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,42.23%,0.1297,20.89%,67.65%,30.47%
PT,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,47.57%,0.0482,39.64%,57.01%,69.53%
RSP,E15D15,MÉXICO,CIUDAD ADOLFO LOPEZ MATEOS,3.54%,0.0180,0.58%,7.07%,0.00%
ES,E15D16,MÉXICO,ECATEPEC DE MORELOS,3.64%,0.0343,0.00%,10.36%,0.00%
MC,E15D16,MÉXICO,ECATEPEC DE MORELOS,4.87%,0.0082,3.51%,6.49%,0.00%
PAN,E15D16,MÉXICO,ECATEPEC DE MORELOS,10.16%,0.0205,6.80%,14.17%,0.00%
PRD,E15D16,MÉXICO,ECATEPEC DE MORELOS,4.39%,0.0183,1.39%,7.97%,0.00%
PRI,E15D16,MÉXICO,ECATEPEC DE MORELOS,13.62%,0.0628,3.28%,25.94%,0.00%
PT,E15D16,MÉXICO,ECATEPEC DE MORELOS,58.40%,0.0687,47.10%,71.87%,100.00%
RSP,E15D16,MÉXICO,ECATEPEC DE MORELOS,3.72%,0.0179,0.78%,7.22%,0.00%
ES,E15D17,MÉXICO,ECATEPEC DE MORELOS,3.67%,0.0392,0.00%,11.34%,0.00%
MC,E15D17,MÉXICO,ECATEPEC DE MORELOS,5.88%,0.0140,3.58%,8.63%,0.00%
MORENA,E15D17,MÉXICO,ECATEPEC DE MORELOS,48.14%,0.0110,46.33%,50.30%,100.00%
PAN,E15D17,MÉXICO,ECATEPEC DE MORELOS,7.30%,0.0396,0.00%,15.07%,0.00%
PRD,E15D17,MÉXICO,ECATEPEC DE MORELOS,6.63%,0.0243,2.64%,11.38%,0.00%
PRI,E15D17,MÉXICO,ECATEPEC DE MORELOS,14.43%,0.0643,3.85%,27.04%,0.00%
PT,E15D17,MÉXICO,ECATEPEC DE MORELOS,2.73%,0.0030,2.23%,3.33%,0.00%
PVEM,E15D17,MÉXICO,ECATEPEC DE MORELOS,8.31%,0.0700,0.00%,22.02%,0.00%
RSP,E15D17,MÉXICO,ECATEPEC DE MORELOS,4.31%,0.0209,0.87%,8.41%,0.00%
ES,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,3.75%,0.0479,0.00%,13.13%,0.00%
MC,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,4.20%,0.0035,3.63%,4.88%,0.00%
MORENA,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,31.22%,0.0160,28.59%,34.37%,94.81%
PAN,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,23.55%,0.0201,20.24%,27.49%,0.18%
PRD,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,4.27%,0.0130,2.12%,6.83%,0.00%
PRI,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,17.51%,0.0842,3.66%,34.02%,4.92%
PT,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,2.12%,0.0079,0.82%,3.66%,0.00%
PVEM,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,7.82%,0.0769,0.00%,22.90%,0.09%
RSP,E15D18,MÉXICO,HUIXQUILUCAN DE DEGOLLADO,2.72%,0.0150,0.00%,5.66%,0.00%
ES,E15D19,MÉXICO,TLALNEPANTLA DE BAZ,4.32%,0.0365,0.00%,11.48%,0.00%
MC,E15D19,MÉXICO,TLALNEPANTLA DE BAZ,4.52%,0.0037,3.91%,5.25%,0.00%
MORENA,E15D19,MÉXICO,TLALNEPANTLA DE BAZ,40.68%,0.0103,38.99%,42.69%,68.98%
PAN,E15D19,MÉXICO,TLALNEPANTLA DE BAZ,40.58%,0.0701,29.05%,54.32%,31.02%
PT,E15D19,MÉXICO,TLALNEPANTLA DE BAZ,2.03%,0.0063,0.98%,3.27%,0.00%
PVEM,E15D19,MÉXICO,TLALNEPANTLA DE BAZ,6.91%,0.0628,0.00%,19.22%,0.00%
RSP,E15D19,MÉXICO,TLALNEPANTLA DE BAZ,2.33%,0.0166,0.00%,5.59%,0.00%
ES,E15D2,MÉXICO,SANTA MARIA TULTEPEC,3.59%,0.0422,0.00%,11.86%,0.00%
MC,E15D2,MÉXICO,SANTA MARIA TULTEPEC,8.62%,0.0118,6.67%,10.94%,0.00%
PRD,E15D2,MÉXICO,SANTA MARIA TULTEPEC,33.62%,0.0680,22.44%,46.94%,14.65%
PT,E15D2,MÉXICO,SANTA MARIA TULTEPEC,49.03%,0.0694,37.62%,62.64%,85.35%
RSP,E15D2,MÉXICO,SANTA MARIA TULTEPEC,3.27%,0.0237,0.00%,7.91%,0.00%
ES,E15D20,MÉXICO,CD. NEZAHUALCOYOTL,2.05%,0.0238,0.00%,6.72%,0.00%
MC,E15D20,MÉXICO,CD. NEZAHUALCOYOTL,9.16%,0.0824,0.00%,25.32%,0.01%
MORENA,E15D20,MÉXICO,CD. NEZAHUALCOYOTL,44.30%,0.0427,37.28%,52.68%,85.34%
PRD,E15D20,MÉXICO,CD. NEZAHUALCOYOTL,31.02%,0.1066,13.48%,51.92%,14.65%
PT,E15D20,MÉXICO,CD. NEZAHUALCOYOTL,1.29%,0.0059,0.33%,2.45%,0.00%
PVEM,E15D20,MÉXICO,CD. NEZAHUALCOYOTL,6.38%,0.0481,0.00%,15.81%,0.00%
RSP,E15D20,MÉXICO,CD. NEZAHUALCOYOTL,6.51%,0.0660,0.00%,19.45%,0.00%
ES,E15D21,MÉXICO,AMECAMECA DE JUAREZ,3.92%,0.0328,0.00%,10.36%,0.00%
MC,E15D21,MÉXICO,AMECAMECA DE JUAREZ,4.84%,0.0060,3.85%,6.03%,0.00%
MORENA,E15D21,MÉXICO,AMECAMECA DE JUAREZ,43.55%,0.0117,41.63%,45.84%,100.00%
PAN,E15D21,MÉXICO,AMECAMECA DE JUAREZ,15.04%,0.0122,13.03%,17.44%,0.00%
PRD,E15D21,MÉXICO,AMECAMECA DE JUAREZ,2.70%,0.0190,0.00%,6.43%,0.00%
PRI,E15D21,MÉXICO,AMECAMECA DE JUAREZ,14.80%,0.0608,4.81%,26.71%,0.00%
PT,E15D21,MÉXICO,AMECAMECA DE JUAREZ,3.17%,0.0066,2.08%,4.47%,0.00%
PVEM,E15D21,MÉXICO,AMECAMECA DE JUAREZ,8.80%,0.0681,0.00%,22.14%,0.00%
RSP,E15D21,MÉXICO,AMECAMECA DE JUAREZ,3.83%,0.0166,1.11%,7.08%,0.00%
ES,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,4.55%,0.0360,0.00%,11.61%,0.00%
MC,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,3.22%,0.0095,1.66%,5.09%,0.00%
MORENA,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,34.72%,0.0041,34.04%,35.53%,92.13%
PAN,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,29.41%,0.0439,22.19%,38.02%,7.38%
PRD,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,0.81%,0.0097,0.00%,2.71%,0.00%
PRI,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,14.80%,0.0876,0.00%,31.97%,0.49%
PT,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,2.10%,0.0120,0.00%,4.45%,0.00%
PVEM,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,7.49%,0.0691,0.00%,21.04%,0.00%
RSP,E15D22,MÉXICO,NAUCALPAN DE JUAREZ,1.06%,0.0106,0.00%,3.15%,0.00%
ES,E15D23,MÉXICO,LERMA DE VILLADA,2.25%,0.0360,0.00%,9.31%,0.00%
MC,E15D23,MÉXICO,LERMA DE VILLADA,3.25%,0.0073,2.05%,4.67%,0.00%
MORENA,E15D23,MÉXICO,LERMA DE VILLADA,35.17%,0.0045,34.43%,36.04%,99.59%
PAN,E15D23,MÉXICO,LERMA DE VILLADA,14.58%,0.0130,12.45%,17.12%,0.00%
PRD,E15D23,MÉXICO,LERMA DE VILLADA,3.86%,0.0102,2.18%,5.86%,0.00%
PRI,E15D23,MÉXICO,LERMA DE VILLADA,18.01%,0.0673,6.93%,31.21%,0.37%
PT,E15D23,MÉXICO,LERMA DE VILLADA,4.80%,0.0031,4.30%,5.41%,0.00%
PVEM,E15D23,MÉXICO,LERMA DE VILLADA,10.40%,0.0792,0.00%,25.92%,0.04%
RSP,E15D23,MÉXICO,LERMA DE VILLADA,2.71%,0.0159,0.00%,5.82%,0.00%
ES,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,3.94%,0.0376,0.00%,11.31%,0.00%
MC,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,3.36%,0.0090,1.89%,5.12%,0.00%
MORENA,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,51.58%,0.0754,39.17%,66.36%,75.07%
PAN,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,38.70%,0.0712,27.00%,52.65%,24.93%
RSP,E15D24,MÉXICO,NAUCALPAN DE JUAREZ,1.49%,0.0136,0.00%,4.16%,0.00%
ES,E15D25,MÉXICO,CHIMALHUACAN,3.28%,0.0399,0.00%,11.09%,0.00%
MC,E15D25,MÉXICO,CHIMALHUACAN,4.53%,0.0133,2.35%,7.13%,0.00%
MORENA,E15D25,MÉXICO,CHIMALHUACAN,43.75%,0.0078,42.46%,45.29%,99.98%
PAN,E15D25,MÉXICO,CHIMALHUACAN,4.83%,0.0521,0.00%,15.03%,0.00%
PRD,E15D25,MÉXICO,CHIMALHUACAN,8.83%,0.0311,3.72%,14.92%,0.00%
PRI,E15D25,MÉXICO,CHIMALHUACAN,18.04%,0.0724,6.13%,32.24%,0.02%
PT,E15D25,MÉXICO,CHIMALHUACAN,2.42%,0.0038,1.79%,3.18%,0.00%
PVEM,E15D25,MÉXICO,CHIMALHUACAN,9.75%,0.0761,0.00%,24.67%,0.00%
RSP,E15D25,MÉXICO,CHIMALHUACAN,3.50%,0.0210,0.00%,7.61%,0.00%
ES,E15D26,MÉXICO,TOLUCA DE LERDO,4.53%,0.0494,0.00%,14.22%,0.00%
MC,E15D26,MÉXICO,TOLUCA DE LERDO,3.06%,0.0125,1.01%,5.51%,0.00%
PRI,E15D26,MÉXICO,TOLUCA DE LERDO,42.40%,0.0819,28.93%,58.46%,44.01%
PVEM,E15D26,MÉXICO,TOLUCA DE LERDO,48.39%,0.0851,34.39%,65.07%,55.99%
RSP,E15D26,MÉXICO,TOLUCA DE LERDO,2.15%,0.0150,0.00%,5.09%,0.00%
ES,E15D27,MÉXICO,METEPEC,3.31%,0.0413,0.00%,11.41%,0.00%
MC,E15D27,MÉXICO,METEPEC,2.88%,0.0129,0.76%,5.41%,0.00%
PRI,E15D27,MÉXICO,METEPEC,41.23%,0.0769,28.58%,56.31%,40.36%
PT,E15D27,MÉXICO,METEPEC,48.88%,0.0805,35.63%,64.66%,59.64%
RSP,E15D27,MÉXICO,METEPEC,1.92%,0.0135,0.00%,4.56%,0.00%
ES,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,3.36%,0.0417,0.00%,11.53%,0.00%
MC,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,4.51%,0.0084,3.14%,6.15%,0.00%
MORENA,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,38.61%,0.0139,36.33%,41.33%,99.09%
PAN,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,16.28%,0.0217,12.71%,20.53%,0.00%
PRD,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,5.00%,0.0090,3.52%,6.77%,0.00%
PRI,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,20.21%,0.0757,7.75%,35.06%,0.85%
PT,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,2.23%,0.0023,1.85%,2.68%,0.00%
PVEM,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,10.25%,0.0892,0.00%,27.73%,0.06%
RSP,E15D28,MÉXICO,ZUMPANGO DE OCAMPO,5.01%,0.0132,2.83%,7.59%,0.00%
ES,E15D29,MÉXICO,CD. NEZAHUALCOYOTL,1.79%,0.0227,0.00%,6.24%,0.00%
MC,E15D29,MÉXICO,CD. NEZAHUALCOYOTL,9.45%,0.0951,0.00%,28.09%,0.17%
MORENA,E15D29,MÉXICO,CD. NEZAHUALCOYOTL,42.72%,0.0532,33.97%,53.15%,76.79%
PRD,E15D29,MÉXICO,CD. NEZAHUALCOYOTL,32.19%,0.1187,12.67%,55.46%,23.03%
PT,E15D29,MÉXICO,CD. NEZAHUALCOYOTL,2.70%,0.0060,1.72%,3.87%,0.00%
PVEM,E15D29,MÉXICO,CD. NEZAHUALCOYOTL,5.49%,0.0403,0.00%,13.38%,0.00%
RSP,E15D29,MÉXICO,CD. NEZAHUALCOYOTL,6.59%,0.0675,0.00%,19.82%,0.00%
ES,E15D3,MÉXICO,ATLACOMULCO DE FABELA,2.27%,0.0358,0.00%,9.29%,0.00%
MC,E15D3,MÉXICO,ATLACOMULCO DE FABELA,3.46%,0.0149,1.01%,6.37%,0.00%
PRI,E15D3,MÉXICO,ATLACOMULCO DE FABELA,40.95%,0.0878,26.50%,58.17%,35.96%
PT,E15D3,MÉXICO,ATLACOMULCO DE FABELA,50.51%,0.0836,36.76%,66.89%,64.04%
RSP,E15D3,MÉXICO,ATLACOMULCO DE FABELA,3.11%,0.0169,0.00%,6.42%,0.00%
ES,E15D30,MÉXICO,CHIMALHUACAN,2.08%,0.0279,0.00%,7.55%,0.00%
MC,E15D30,MÉXICO,CHIMALHUACAN,8.08%,0.0419,0.00%,16.29%,0.00%
MORENA,E15D30,MÉXICO,CHIMALHUACAN,51.85%,0.0558,42.67%,62.78%,100.00%
PAN,E15D30,MÉXICO,CHIMALHUACAN,2.92%,0.0406,0.00%,10.87%,0.00%
PRD,E15D30,MÉXICO,CHIMALHUACAN,16.39%,0.0640,5.87%,28.94%,0.00%
PRI,E15D30,MÉXICO,CHIMALHUACAN,13.16%,0.0504,4.87%,23.03%,0.00%
RSP,E15D30,MÉXICO,CHIMALHUACAN,6.24%,0.0462,0.00%,15.29%,0.00%
ES,E15D31,MÉXICO,CD. NEZAHUALCOYOTL,1.26%,0.0201,0.00%,5.21%,0.00%
MC,E15D31,MÉXICO,CD. NEZAHUALCOYOTL,12.23%,0.1121,0.00%,34.21%,1.43%
MORENA,E15D31,MÉXICO,CD. NEZAHUALCOYOTL,42.26%,0.0664,31.34%,55.27%,72.99%
PRD,E15D31,MÉXICO,CD. NEZAHUALCOYOTL,31.55%,0.1411,8.35%,59.19%,25.34%
PT,E15D31,MÉXICO,CD. NEZAHUALCOYOTL,1.78%,0.0060,0.80%,2.95%,0.00%
PVEM,E15D31,MÉXICO,CD. NEZAHUALCOYOTL,4.80%,0.0287,0.00%,10.43%,0.00%
RSP,E15D31,MÉXICO,CD. NEZAHUALCOYOTL,8.54%,0.0968,0.00%,27.51%,0.24%
ES,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,3.26%,0.0177,0.00%,6.74%,0.00%
MC,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,12.92%,0.0396,6.41%,20.68%,0.00%
PRD,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,26.69%,0.0662,15.80%,39.66%,0.01%
PT,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,57.30%,0.0463,49.69%,66.38%,99.99%
RSP,E15D32,MÉXICO,VALLE DE CHALCO SOLIDARIDAD,4.69%,0.0422,0.00%,12.96%,0.00%
ES,E15D33,MÉXICO,CHALCO DE DIAZ COVARRUBIAS,5.49%,0.0259,1.23%,10.56%,0.00%
MC,E15D33,MÉXICO,CHALCO DE DIAZ COVARRUBIAS,9.59%,0.0150,7.11%,12.54%,0.00%
MORENA,E15D33,MÉXICO,CHALCO DE DIAZ COVARRUBIAS,42.49%,0.0085,41.08%,44.16%,99.03%
PRI,E15D33,MÉXICO,CHALCO DE DIAZ COVARRUBIAS,25.34%,0.0754,12.95%,40.11%,0.97%
PT,E15D33,MÉXICO,CHALCO DE DIAZ COVARRUBIAS,2.54%,0.0055,1.63%,3.61%,0.00%
PVEM,E15D33,MÉXICO,CHALCO DE DIAZ COVARRUBIAS,6.06%,0.0470,0.00%,15.26%,0.00%
RSP,E15D33,MÉXICO,CHALCO DE DIAZ COVARRUBIAS,3.08%,0.0259,0.00%,8.16%,0.00%
ES,E15D34,MÉXICO,TOLUCA DE LERDO,4.65%,0.0457,0.00%,13.61%,0.00%
MC,E15D34,MÉXICO,TOLUCA DE LERDO,4.54%,0.0128,2.43%,7.04%,0.00%
MORENA,E15D34,MÉXICO,TOLUCA DE LERDO,46.66%,0.0710,34.98%,60.58%,56.04%
PAN,E15D34,MÉXICO,TOLUCA DE LERDO,42.30%,0.0751,29.95%,57.03%,43.96%
RSP,E15D34,MÉXICO,TOLUCA DE LERDO,1.59%,0.0097,0.00%,3.49%,0.00%
ES,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,2.44%,0.0399,0.00%,10.26%,0.00%
MC,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,4.17%,0.0083,2.81%,5.80%,0.00%
MORENA,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,49.60%,0.0710,37.93%,63.52%,73.09%
PRI,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,38.13%,0.0718,26.32%,52.19%,26.91%
RSP,E15D35,MÉXICO,TENANCINGO DE DEGOLLADO,3.05%,0.0111,1.23%,5.22%,0.00%
ES,E15D36,MÉXICO,TEJUPILCO DE HIDALGO,1.10%,0.0473,0.00%,10.37%,0.00%
MC,E15D36,MÉXICO,TEJUPILCO DE HIDALGO,4.08%,0.0106,2.33%,6.16%,0.00%
MORENA,E15D36,MÉXICO,TEJUPILCO DE HIDALGO,32.40%,0.0178,29.47%,35.89%,41.95%
PRI,E15D36,MÉXICO,TEJUPILCO DE HIDALGO,44.39%,0.0819,30.92%,60.44%,58.02%
PT,E15D36,MÉXICO,TEJUPILCO DE HIDALGO,3.60%,0.0047,2.82%,4.52%,0.00%
PVEM,E15D36,MÉXICO,TEJUPILCO DE HIDALGO,7.87%,0.0746,0.00%,22.50%,0.04%
RSP,E15D36,MÉXICO,TEJUPILCO DE HIDALGO,4.15%,0.0276,0.00%,9.57%,0.00%
ES,E15D37,MÉXICO,CUAUTITLAN,4.10%,0.0334,0.00%,10.65%,0.00%
MC,E15D37,MÉXICO,CUAUTITLAN,7.46%,0.0086,6.04%,9.15%,0.00%
MORENA,E15D37,MÉXICO,CUAUTITLAN,43.42%,0.0081,42.10%,45.00%,100.00%
PAN,E15D37,MÉXICO,CUAUTITLAN,11.77%,0.0061,10.77%,12.97%,0.00%
PRD,E15D37,MÉXICO,CUAUTITLAN,5.60%,0.0246,1.56%,10.43%,0.00%
PRI,E15D37,MÉXICO,CUAUTITLAN,13.36%,0.0520,4.81%,23.55%,0.00%
PT,E15D37,MÉXICO,CUAUTITLAN,3.08%,0.0056,2.16%,4.19%,0.00%
PVEM,E15D37,MÉXICO,CUAUTITLAN,7.41%,0.0541,0.00%,18.01%,0.00%
RSP,E15D37,MÉXICO,CUAUTITLAN,3.15%,0.0210,0.00%,7.27%,0.00%
ES,E15D38,MÉXICO,TEXCOCO DE MORA,3.26%,0.0353,0.00%,10.18%,0.00%
MC,E15D38,MÉXICO,TEXCOCO DE MORA,4.04%,0.0072,2.85%,5.46%,0.00%
MORENA,E15D38,MÉXICO,TEXCOCO DE MORA,59.56%,0.0111,57.74%,61.73%,100.00%
PAN,E15D38,MÉXICO,TEXCOCO DE MORA,4.39%,0.0350,0.00%,11.26%,0.00%
PRD,E15D38,MÉXICO,TEXCOCO DE MORA,3.02%,0.0057,2.08%,4.14%,0.00%
PRI,E15D38,MÉXICO,TEXCOCO DE MORA,12.71%,0.0597,2.88%,24.42%,0.00%
PT,E15D38,MÉXICO,TEXCOCO DE MORA,2.45%,0.0025,2.04%,2.95%,0.00%
PVEM,E15D38,MÉXICO,TEXCOCO DE MORA,7.39%,0.0611,0.00%,19.36%,0.00%
RSP,E15D38,MÉXICO,TEXCOCO DE MORA,2.29%,0.0112,0.45%,4.48%,0.00%
ES,E15D39,MÉXICO,LOS REYES ACAQUILPAN,4.05%,0.0428,0.00%,12.44%,0.00%
MC,E15D39,MÉXICO,LOS REYES ACAQUILPAN,5.08%,0.0059,4.10%,6.24%,0.00%
PRI,E15D39,MÉXICO,LOS REYES ACAQUILPAN,31.63%,0.0845,17.73%,48.20%,5.87%
PT,E15D39,MÉXICO,LOS REYES ACAQUILPAN,56.33%,0.0875,41.93%,73.48%,94.13%
RSP,E15D39,MÉXICO,LOS REYES ACAQUILPAN,3.05%,0.0213,0.00%,7.22%,0.00%
ES,E15D4,MÉXICO,NICOLAS ROMERO,3.55%,0.0424,0.00%,11.85%,0.00%
MC,E15D4,MÉXICO,NICOLAS ROMERO,3.30%,0.0092,1.78%,5.10%,0.00%
MORENA,E15D4,MÉXICO,NICOLAS ROMERO,52.84%,0.0719,41.02%,66.93%,100.00%
PAN,E15D4,MÉXICO,NICOLAS ROMERO,18.46%,0.0066,17.38%,19.75%,0.00%
PRD,E15D4,MÉXICO,NICOLAS ROMERO,2.01%,0.0090,0.53%,3.78%,0.00%
PRI,E15D4,MÉXICO,NICOLAS ROMERO,15.08%,0.0684,3.83%,28.48%,0.00%
RSP,E15D4,MÉXICO,NICOLAS ROMERO,2.17%,0.0125,0.00%,4.63%,0.00%
ES,E15D40,MÉXICO,SAN MIGUEL ZINACANTEPEC,3.25%,0.0440,0.00%,11.87%,0.00%
MC,E15D40,MÉXICO,SAN MIGUEL ZINACANTEPEC,5.41%,0.0052,4.56%,6.43%,0.00%
MORENA,E15D40,MÉXICO,SAN MIGUEL ZINACANTEPEC,35.19%,0.0068,34.07%,36.51%,64.67%
PAN,E15D40,MÉXICO,SAN MIGUEL ZINACANTEPEC,37.17%,0.0699,25.68%,50.86%,35.32%
PT,E15D40,MÉXICO,SAN MIGUEL ZINACANTEPEC,6.64%,0.0086,5.22%,8.33%,0.00%
PVEM,E15D40,MÉXICO,SAN MIGUEL ZINACANTEPEC,9.12%,0.0712,0.00%,23.09%,0.01%
RSP,E15D40,MÉXICO,SAN MIGUEL ZINACANTEPEC,3.24%,0.0128,1.14%,5.75%,0.00%
ES,E15D41,MÉXICO,OJO DE AGUA,3.35%,0.0544,0.00%,14.00%,0.00%
MC,E15D41,MÉXICO,OJO DE AGUA,5.49%,0.0057,4.55%,6.61%,0.00%
PRI,E15D41,MÉXICO,OJO DE AGUA,33.64%,0.0896,18.90%,51.21%,9.55%
PVEM,E15D41,MÉXICO,OJO DE AGUA,56.13%,0.0872,41.79%,73.22%,90.45%
